scientific_name,family,order,lga_occurrence_count,suburb_count,suburbs,exact_local_species_evidence,evidence_level,classification_basis
Rhytidoponera victoriae,Formicidae,Hymenoptera,15,4,Carlton|Melbourne|North Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Scolia verticalis,Scoliidae,Hymenoptera,2,2,Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Simosyrphus grandicornis,Syrphidae,Diptera,33,5,Carlton|Kensington|Melbourne|Parkville|Southbank,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Sphaerophoria macrogaster,Syrphidae,Diptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Spilostethus pacificus,Lygaeidae,Hemiptera,1,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Stigmacros barretti,Formicidae,Hymenoptera,1,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Stigmatium quadricostatum,Cleridae,Coleoptera,1,1,Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Strumigenys perplexa,Formicidae,Hymenoptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Synthesiomyia nudiseta,Muscidae,Diptera,1,1,West Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Technomyrmex jocosus,Formicidae,Hymenoptera,2,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Tetramorium bicarinatum,Formicidae,Hymenoptera,1,1,East Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Thyreus caeruleopunctatus,Apidae,Hymenoptera,21,2,Melbourne|Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Trichilogaster acaciaelongifoliae,Pteromalidae,Hymenoptera,4,3,Carlton|Parkville|Port Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Trichilogaster signiventris,Pteromalidae,Hymenoptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Trigonospila brevifacies,Tachinidae,Diptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Vespula germanica,Vespidae,Hymenoptera,50,8,Carlton|East Melbourne|Kensington|Melbourne|North Melbourne|Parkville|South Yarra|Southbank,True,exact_species_label,species labelled pol=1 in supplied Melbourne functional-group study
Xanthopimpla rhapaloceros,Ichneumonidae,Hymenoptera,1,1,West Melbourne,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Xylota flavitarsis,Syrphidae,Diptera,1,1,Kensington,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
Zebromyia ornata,Tachinidae,Diptera,1,1,Parkville,False,family_candidate,family candidate; another family member is labelled pol=1 in the supplied Melbourne study
